date,mode,pre_nav,post_nav,period_return_pct,cum_return_pct,n_stocks,cash_pct,turnover_pct,cost_inr,n_buys,n_sells,stocks_added,stocks_removed,top5_holdings,rl_overweight,rl_underweight,aggressiveness,emergency,tilt_Banking,tilt_Energy,tilt_Pharma,tilt_FinancialServices,tilt_Healthcare,tilt_Automobiles,tilt_ConsumerDiscretionary,tilt_CapitalGoods,tilt_RealEstate,tilt_Chemicals,tilt_Metals,tilt_Telecom,tilt_FMCG,tilt_IT,tilt_Cement
2018-08-09,RL,872543.92,870614.91,-0.221,74.123,14,29.9,34.57,1377.81,7,15,"DEEPAKNTR.NS,DMART.NS,HDFCBANK.NS,IOC.NS,KOTAKBANK.NS,ONGC.NS,PIIND.NS","CUMMINSIND.NS,DABUR.NS,ICICIBANK.NS,MARICO.NS,NTPC.NS,POWERGRID.NS,SBIN.NS,VOLTAS.NS",PETRONET.NS:8.2%|ASIANPAINT.NS:8.0%|NAVINFLUOR.NS:8.0%|PIIND.NS:8.0%|IDFCFIRSTB.NS:7.9%,Banking×2.0|Energy×2.0|ConsumerDiscretionary×2.0,IT×0.3|FinancialServices×0.3|FMCG×0.3,0.5,False,2.0,2.0,0.321,0.3,0.3,0.3,2.0,0.3,0.3,1.871,0.3,0.3,0.3,0.3,0.3
2018-09-06,RL,870614.91,863701.56,-0.794,72.74,16,27.15,40.56,1625.32,15,8,"APOLLOHOSP.NS,COLPAL.NS,DLF.NS,GODREJCP.NS,ITC.NS,MARICO.NS,NTPC.NS,OBEROIRLTY.NS,POWERGRID.NS","FEDERALBNK.NS,HDFCBANK.NS,IDFCFIRSTB.NS,IOC.NS,KOTAKBANK.NS,ONGC.NS,PETRONET.NS",DLF.NS:8.0%|NTPC.NS:8.0%|ASIANPAINT.NS:7.5%|NAVINFLUOR.NS:7.5%|PIIND.NS:7.5%,CapitalGoods×2.0|Healthcare×2.0|RealEstate×2.0,IT×0.3|Banking×0.3|FinancialServices×0.3,0.5,False,0.3,0.3,0.3,0.3,2.0,0.3,1.474,2.0,2.0,1.614,0.3,0.3,0.43,0.3,0.3
2018-10-04,RL,863701.56,801157.45,-7.241,60.231,16,24.94,16.21,544.48,15,3,"TCS.NS,WIPRO.NS","COLPAL.NS,ITC.NS",DLF.NS:8.1%|NTPC.NS:8.1%|WIPRO.NS:8.0%|ASIANPAINT.NS:7.6%|NAVINFLUOR.NS:7.6%,CapitalGoods×2.0|Healthcare×2.0|RealEstate×2.0,Banking×0.3|FinancialServices×0.3|Automobiles×0.3,0.5,False,0.3,0.3,0.3,0.3,2.0,0.3,0.947,2.0,2.0,1.823,0.3,0.3,0.487,0.921,0.3
2018-11-01,RL,819359.85,817264.34,-0.256,63.453,14,24.97,39.87,1496.75,8,14,"BHARTIARTL.NS,FORTIS.NS,INDUSTOWER.NS,MPHASIS.NS,PERSISTENT.NS,PRESTIGE.NS","ASIANPAINT.NS,DMART.NS,GODREJCP.NS,MARICO.NS,TCS.NS,TITAN.NS,WHIRLPOOL.NS,WIPRO.NS",PIIND.NS:8.1%|NTPC.NS:8.0%|PERSISTENT.NS:8.0%|PRESTIGE.NS:8.0%|DLF.NS:8.0%,IT×2.0|CapitalGoods×2.0|Healthcare×2.0,Banking×0.3|Automobiles×0.3|Pharma×0.3,0.5,False,0.3,0.3,0.3,0.666,2.0,0.3,0.336,2.0,2.0,1.633,0.3,0.437,0.395,2.0,0.3
2018-11-29,RL,836296.0,834644.83,-0.197,66.929,16,25.12,27.79,1179.4,8,12,"AARTIIND.NS,ABB.NS,COFORGE.NS,GODREJPROP.NS,LTIM.NS,WIPRO.NS","DEEPAKNTR.NS,NTPC.NS,OBEROIRLTY.NS,PERSISTENT.NS",MPHASIS.NS:8.0%|GODREJPROP.NS:8.0%|INDUSTOWER.NS:7.5%|NAVINFLUOR.NS:7.2%|DLF.NS:6.9%,IT×2.0|CapitalGoods×2.0|Healthcare×2.0,Banking×0.3|Automobiles×0.3|Pharma×0.3,0.5,False,0.3,0.3,0.3,0.939,2.0,0.3,0.3,2.0,2.0,1.548,0.3,0.478,0.359,2.0,0.3
2018-12-27,RL,840779.55,839096.45,-0.2,67.819,18,25.13,28.03,1202.22,13,11,"ASIANPAINT.NS,DABUR.NS,INFY.NS,ITC.NS,NESTLEIND.NS,TCS.NS,VOLTAS.NS,WHIRLPOOL.NS","AARTIIND.NS,BHARTIARTL.NS,INDUSTOWER.NS,MPHASIS.NS,PRESTIGE.NS,WIPRO.NS",ABB.NS:8.0%|GODREJPROP.NS:7.8%|NAVINFLUOR.NS:7.1%|DLF.NS:6.8%|ITC.NS:6.3%,CapitalGoods×2.0|Healthcare×2.0|RealEstate×2.0,Banking×0.3|FinancialServices×0.3|Automobiles×0.3,0.5,False,0.3,0.3,0.3,0.3,2.0,0.3,1.078,2.0,2.0,1.658,0.3,0.323,0.465,0.801,0.3
2019-01-24,RL,853435.61,851773.92,-0.195,70.355,19,5.0,36.48,1187.03,15,9,"AARTIIND.NS,CUMMINSIND.NS,GODREJCP.NS,HINDUNILVR.NS,MARICO.NS,OBEROIRLTY.NS","COFORGE.NS,INFY.NS,LTIM.NS,NESTLEIND.NS,TCS.NS",ABB.NS:8.0%|VOLTAS.NS:8.0%|GODREJPROP.NS:7.8%|NAVINFLUOR.NS:7.1%|DLF.NS:6.8%,CapitalGoods×2.0|ConsumerDiscretionary×2.0|Healthcare×2.0,IT×0.3|Banking×0.3|FinancialServices×0.3,0.5,False,0.3,0.3,0.3,0.3,2.0,0.3,2.0,2.0,2.0,1.234,0.3,0.3,0.458,0.3,0.3
2019-02-21,RL,851773.92,812094.66,-4.658,62.419,16,25.14,32.33,1016.88,14,11,"BAJFINANCE.NS,HDFCLIFE.NS,INDUSTOWER.NS,INFY.NS,LTIM.NS,TCS.NS","ASIANPAINT.NS,CUMMINSIND.NS,DABUR.NS,GODREJCP.NS,HINDUNILVR.NS,ITC.NS,MARICO.NS,VOLTAS.NS,WHIRLPOOL.NS",ABB.NS:7.9%|GODREJPROP.NS:7.7%|NAVINFLUOR.NS:7.0%|DLF.NS:6.7%|APOLLOHOSP.NS:6.7%,IT×2.0|CapitalGoods×2.0|Healthcare×2.0,Banking×0.3|Automobiles×0.3|Pharma×0.3,0.5,False,0.3,0.3,0.3,1.193,2.0,0.3,0.3,2.0,2.0,1.473,0.3,0.507,0.323,2.0,0.3
2019-03-21,RL,863586.37,859720.75,-0.448,71.944,10,0.0,73.24,2761.24,10,13,"CUMMINSIND.NS,DABUR.NS,DEEPAKNTR.NS,DMART.NS,GODREJCP.NS,ITC.NS,PIDILITIND.NS","AARTIIND.NS,ABB.NS,APOLLOHOSP.NS,BAJFINANCE.NS,FORTIS.NS,HDFCLIFE.NS,INDUSTOWER.NS,INFY.NS,LTIM.NS,NAVINFLUOR.NS,OBEROIRLTY.NS,PIIND.NS,TCS.NS",CUMMINSIND.NS:10.9%|POWERGRID.NS:10.9%|DEEPAKNTR.NS:10.9%|PIDILITIND.NS:10.9%|DMART.NS:10.9%,CapitalGoods×2.0|ConsumerDiscretionary×2.0|Healthcare×2.0,IT×0.3|Banking×0.3|FinancialServices×0.3,0.5,False,0.3,0.3,0.3,0.3,2.0,0.3,2.0,2.0,2.0,1.288,0.3,0.3,0.435,0.3,0.3
2019-04-18,RL,859720.75,850184.71,-1.109,70.037,11,30.0,94.46,3522.72,11,10,"AARTIIND.NS,APOLLOHOSP.NS,BAJAJFINSV.NS,BHARTIARTL.NS,BRIGADE.NS,INFY.NS,MPHASIS.NS,MUTHOOTFIN.NS,PIIND.NS,PRESTIGE.NS,SIEMENS.NS","CUMMINSIND.NS,DABUR.NS,DEEPAKNTR.NS,DLF.NS,DMART.NS,GODREJCP.NS,GODREJPROP.NS,ITC.NS,PIDILITIND.NS,POWERGRID.NS",SIEMENS.NS:6.4%|AARTIIND.NS:6.4%|PIIND.NS:6.4%|BAJAJFINSV.NS:6.4%|MUTHOOTFIN.NS:6.4%,IT×2.0|CapitalGoods×2.0|Healthcare×2.0,Banking×0.3|FMCG×0.3|Automobiles×0.3,0.5,False,0.3,0.3,0.3,1.343,2.0,0.3,0.3,2.0,2.0,1.399,0.3,0.514,0.3,2.0,0.3
