date,mode,pre_nav,post_nav,period_return_pct,cum_return_pct,n_stocks,cash_pct,turnover_pct,cost_inr,n_buys,n_sells,stocks_added,stocks_removed,top5_holdings,rl_overweight,rl_underweight,aggressiveness,emergency,tilt_Banking,tilt_Energy,tilt_Pharma,tilt_FinancialServices,tilt_Healthcare,tilt_Automobiles,tilt_ConsumerDiscretionary,tilt_CapitalGoods,tilt_RealEstate,tilt_Chemicals,tilt_Metals,tilt_Telecom,tilt_FMCG,tilt_IT,tilt_Cement
2023-04-13,RL,2089715.31,2084008.82,-0.273,316.802,17,4.95,45.55,4075.92,9,16,"AMBUJACEM.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,CHOLAFIN.NS,HEROMOTOCO.NS,PIIND.NS,SBILIFE.NS","APOLLOHOSP.NS,ASIANPAINT.NS,FORTIS.NS,MAXHEALTH.NS,MUTHOOTFIN.NS,NMDC.NS,SAIL.NS,TITAN.NS",ALKYLAMINE.NS:8.3%|GRASIM.NS:8.1%|BHARTIARTL.NS:8.1%|INDUSTOWER.NS:8.1%|BAJAJ-AUTO.NS:7.9%,FinancialServices×2.0|Automobiles×2.0|Telecom×2.0,IT×0.3|Banking×0.3|FMCG×0.3,0.5,False,0.3,0.3,0.3,2.0,0.3,2.0,0.3,0.3,2.0,1.085,0.3,2.0,0.3,0.3,2.0
2023-05-11,RL,2220556.15,2216679.62,-0.175,343.336,13,25.02,34.62,2768.62,4,15,"LTIM.NS,PERSISTENT.NS","BAJFINANCE.NS,BRIGADE.NS,CHOLAFIN.NS,GRASIM.NS,SBILIFE.NS,SHREECEM.NS",LTIM.NS:8.0%|PIIND.NS:8.0%|ALKYLAMINE.NS:7.9%|BHARTIARTL.NS:7.7%|INDUSTOWER.NS:7.7%,IT×2.0|Banking×2.0|Automobiles×2.0,FinancialServices×0.3|FMCG×0.3|Energy×0.3,1.5,False,2.0,0.3,2.0,0.3,0.3,2.0,0.3,0.3,1.873,2.0,0.3,2.0,0.3,2.0,2.0
2023-06-08,RL,2281263.89,2278845.03,-0.106,355.769,17,25.12,15.86,1727.79,7,12,"AXISBANK.NS,MPHASIS.NS,NAVINFLUOR.NS,SBIN.NS,SHREECEM.NS,WIPRO.NS","AMBUJACEM.NS,PERSISTENT.NS",LTIM.NS:7.6%|ALKYLAMINE.NS:7.5%|BHARTIARTL.NS:7.3%|INDUSTOWER.NS:7.3%|BAJAJ-AUTO.NS:7.1%,IT×2.0|Banking×2.0|Automobiles×2.0,FinancialServices×0.3|FMCG×0.3|Metals×0.3,1.5,False,2.0,1.233,2.0,0.3,0.3,2.0,0.3,0.3,1.87,2.0,0.3,2.0,0.3,2.0,2.0
2023-07-06,RL,2338503.81,2328544.85,-0.426,365.709,8,0.0,72.93,7113.95,8,13,"BAJFINANCE.NS,GRASIM.NS,HDFCLIFE.NS,LICHSGFIN.NS","AARTIIND.NS,ALKYLAMINE.NS,AXISBANK.NS,BAJAJ-AUTO.NS,GODREJPROP.NS,HEROMOTOCO.NS,LTIM.NS,MPHASIS.NS,NAVINFLUOR.NS,OBEROIRLTY.NS,PIIND.NS,SBIN.NS,WIPRO.NS",BHARTIARTL.NS:15.7%|INDUSTOWER.NS:15.7%|ACC.NS:11.4%|GRASIM.NS:11.4%|SHREECEM.NS:11.4%,FinancialServices×2.0|Telecom×2.0|Cement×1.7,IT×0.3|Banking×0.3|FMCG×0.3,0.5,False,0.3,0.3,0.3,2.0,0.3,1.026,0.3,0.3,0.88,0.3,0.3,2.0,0.3,0.3,1.733
2023-08-03,RL,2344072.97,2331765.63,-0.525,366.353,16,30.0,89.13,8790.49,14,8,"ALKEM.NS,ASHOKLEY.NS,BAJAJ-AUTO.NS,BIOCON.NS,DRREDDY.NS,EICHERMOT.NS,LTIM.NS,M&M.NS,MARUTI.NS,MPHASIS.NS,ONGC.NS,PERSISTENT.NS,SBIN.NS,TORNTPHARM.NS","BAJFINANCE.NS,BHARTIARTL.NS,GRASIM.NS,HDFCLIFE.NS,INDUSTOWER.NS,LICHSGFIN.NS",EICHERMOT.NS:4.4%|ASHOKLEY.NS:4.4%|M&M.NS:4.4%|BAJAJ-AUTO.NS:4.4%|MARUTI.NS:4.4%,IT×2.0|Banking×2.0|Automobiles×2.0,FinancialServices×0.3|FMCG×0.3|Metals×0.3,1.5,False,2.0,0.54,2.0,0.3,0.3,2.0,0.3,0.3,1.915,2.0,0.3,2.0,0.3,2.0,2.0
2023-08-31,RL,2349025.67,2347649.85,-0.059,369.53,16,25.09,9.04,982.8,9,8,AXISBANK.NS,ONGC.NS,DRREDDY.NS:8.0%|ALKEM.NS:8.0%|EICHERMOT.NS:4.4%|ASHOKLEY.NS:4.4%|M&M.NS:4.4%,IT×2.0|Banking×2.0|Automobiles×2.0,FinancialServices×0.3|FMCG×0.3|Energy×0.3,1.5,False,2.0,0.3,2.0,0.3,0.3,2.0,0.3,0.3,2.0,2.0,0.3,2.0,0.3,2.0,2.0
2023-09-28,RL,2372399.38,2370018.08,-0.1,374.004,16,16.3,17.76,1701.07,9,9,"ALKYLAMINE.NS,NAVINFLUOR.NS","BAJAJ-AUTO.NS,MARUTI.NS",PERSISTENT.NS:8.0%|ALKYLAMINE.NS:8.0%|DRREDDY.NS:8.0%|ALKEM.NS:8.0%|MPHASIS.NS:7.0%,IT×2.0|Banking×2.0|Automobiles×2.0,FinancialServices×0.3|FMCG×0.3|Energy×0.3,1.5,False,2.0,0.3,0.666,0.3,0.3,2.0,0.3,0.3,2.0,2.0,0.3,2.0,0.3,2.0,2.0
2023-10-26,RL,2370018.08,2269672.2,-4.234,353.934,14,0.0,88.89,8851.5,13,14,"AARTIIND.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BRIGADE.NS,DABUR.NS,GODREJCP.NS,HINDUNILVR.NS,METROPOLIS.NS,OBEROIRLTY.NS,PIIND.NS,PRESTIGE.NS","ACC.NS,ALKEM.NS,AXISBANK.NS,BIOCON.NS,DRREDDY.NS,EICHERMOT.NS,LTIM.NS,MPHASIS.NS,NAVINFLUOR.NS,PERSISTENT.NS,SBIN.NS,SHREECEM.NS,TORNTPHARM.NS",ASHOKLEY.NS:8.1%|M&M.NS:8.1%|BAJAJFINSV.NS:8.1%|BAJFINANCE.NS:8.1%|METROPOLIS.NS:8.1%,FinancialServices×2.0|Telecom×2.0|Cement×2.0,IT×0.3|Banking×0.3|Pharma×0.3,0.5,False,0.3,0.3,0.3,2.0,0.436,0.985,0.3,0.3,2.0,0.845,0.3,2.0,0.414,0.3,2.0
2023-11-23,RL,2608394.32,2601217.9,-0.275,420.244,13,24.96,60.08,5125.37,7,13,"AXISBANK.NS,BAJAJ-AUTO.NS,EICHERMOT.NS,ICICIBANK.NS,NAVINFLUOR.NS,WIPRO.NS","ASHOKLEY.NS,BAJAJFINSV.NS,BAJFINANCE.NS,DABUR.NS,GODREJCP.NS,HINDUNILVR.NS,METROPOLIS.NS",M&M.NS:8.4%|WIPRO.NS:8.0%|ALKYLAMINE.NS:8.0%|EICHERMOT.NS:7.7%|PIIND.NS:6.9%,IT×2.0|Banking×2.0|Automobiles×2.0,FinancialServices×0.3|FMCG×0.3|Energy×0.3,1.5,False,2.0,0.3,2.0,0.3,0.3,2.0,0.3,0.3,1.808,2.0,0.3,2.0,0.3,2.0,2.0
2023-12-21,RL,2704586.58,2701452.46,-0.116,440.29,15,25.0,18.95,2238.76,6,10,"ALKEM.NS,INFY.NS,TECHM.NS",BAJAJ-AUTO.NS,INFY.NS:8.0%|WIPRO.NS:8.0%|TECHM.NS:8.0%|M&M.NS:7.4%|ALKYLAMINE.NS:7.0%,IT×2.0|Banking×2.0|Automobiles×2.0,FinancialServices×0.3|FMCG×0.3|Metals×0.3,1.5,False,2.0,0.424,2.0,0.3,0.3,2.0,0.3,0.3,1.862,2.0,0.3,2.0,0.3,2.0,2.0
