date,mode,pre_nav,post_nav,period_return_pct,cum_return_pct,n_stocks,cash_pct,turnover_pct,cost_inr,n_buys,n_sells,stocks_added,stocks_removed,top5_holdings,rl_overweight,rl_underweight,aggressiveness,emergency,tilt_Banking,tilt_Energy,tilt_Pharma,tilt_FinancialServices,tilt_Healthcare,tilt_Automobiles,tilt_ConsumerDiscretionary,tilt_CapitalGoods,tilt_RealEstate,tilt_Chemicals,tilt_Metals,tilt_Telecom,tilt_FMCG,tilt_IT,tilt_Cement
2020-08-06,RL,1400490.23,1393538.62,-0.496,178.708,8,0.0,86.22,4965.74,8,10,"COLPAL.NS,DABUR.NS,HEROMOTOCO.NS,HINDUNILVR.NS,ICICIBANK.NS,SBIN.NS","AMBUJACEM.NS,BAJAJ-AUTO.NS,BRIGADE.NS,CHOLAFIN.NS,GODREJPROP.NS,KOTAKBANK.NS,MPHASIS.NS,SBILIFE.NS,SHREECEM.NS,ULTRACEMCO.NS",HEROMOTOCO.NS:15.7%|TVSMOTOR.NS:15.7%|HDFCBANK.NS:11.4%|ICICIBANK.NS:11.4%|SBIN.NS:11.4%,Banking×2.0|Automobiles×2.0|ConsumerDiscretionary×2.0,IT×0.3|FinancialServices×0.3|Pharma×0.3,0.5,False,2.0,0.3,0.3,0.3,0.3,2.0,2.0,0.3,0.3,0.3,0.3,0.3,1.853,0.3,0.3
2020-09-03,RL,1447972.97,1439308.66,-0.598,187.862,8,0.0,86.91,6188.77,8,7,"BAJAJ-AUTO.NS,BRITANNIA.NS,DMART.NS,EICHERMOT.NS,KOTAKBANK.NS,M&M.NS,TITAN.NS","COLPAL.NS,DABUR.NS,HEROMOTOCO.NS,HINDUNILVR.NS,ICICIBANK.NS,SBIN.NS,TVSMOTOR.NS",HDFCBANK.NS:13.9%|KOTAKBANK.NS:13.9%|DMART.NS:13.9%|TITAN.NS:13.9%|BRITANNIA.NS:13.9%,Banking×2.0|Automobiles×2.0|ConsumerDiscretionary×2.0,IT×0.3|FinancialServices×0.3|Pharma×0.3,0.5,False,2.0,0.3,0.3,0.3,0.3,2.0,2.0,0.3,0.3,0.3,0.3,0.3,1.706,0.3,0.3
2020-10-01,RL,1439308.66,1407522.16,-2.208,181.504,8,0.0,74.36,5019.69,6,7,"GODREJCP.NS,ICICIBANK.NS,MARICO.NS,MARUTI.NS,SBIN.NS","BRITANNIA.NS,DMART.NS,EICHERMOT.NS,M&M.NS,TITAN.NS",BAJAJ-AUTO.NS:16.2%|MARUTI.NS:16.2%|GODREJCP.NS:16.2%|MARICO.NS:16.2%|ICICIBANK.NS:8.8%,Banking×2.0|Automobiles×2.0|ConsumerDiscretionary×2.0,IT×0.3|FinancialServices×0.3|Pharma×0.3,0.5,False,2.0,0.3,0.3,0.3,0.3,2.0,2.0,0.3,0.3,0.3,0.3,0.3,1.217,0.3,0.3
2020-10-29,RL,1474893.04,1470686.54,-0.285,194.137,8,12.0,51.71,3004.47,4,7,"AXISBANK.NS,DABUR.NS,M&M.NS","BAJAJ-AUTO.NS,ICICIBANK.NS,SBIN.NS",M&M.NS:13.8%|MARUTI.NS:13.8%|HDFCBANK.NS:10.1%|AXISBANK.NS:10.1%|KOTAKBANK.NS:10.1%,Banking×2.0|Automobiles×2.0|ConsumerDiscretionary×2.0,IT×0.3|FinancialServices×0.3|Pharma×0.3,0.5,False,2.0,0.3,0.3,0.3,0.3,2.0,2.0,0.3,0.3,0.3,0.3,0.3,0.752,0.3,0.3
2020-11-26,RL,1608800.54,1603398.94,-0.336,220.68,8,0.0,52.33,3858.35,5,7,"BAJAJ-AUTO.NS,HEROMOTOCO.NS,ITC.NS,SBIN.NS","DABUR.NS,GODREJCP.NS,KOTAKBANK.NS,M&M.NS",MARICO.NS:15.7%|ITC.NS:15.7%|HEROMOTOCO.NS:11.4%|BAJAJ-AUTO.NS:11.4%|MARUTI.NS:11.4%,Banking×2.0|Automobiles×2.0|ConsumerDiscretionary×2.0,IT×0.3|FinancialServices×0.3|Pharma×0.3,0.5,False,2.0,0.3,0.3,0.3,0.3,2.0,2.0,0.3,0.3,0.3,0.3,0.3,1.636,0.3,0.3
2020-12-24,RL,1673917.36,1668945.93,-0.297,233.789,8,0.0,44.33,3551.06,7,4,"BRITANNIA.NS,DABUR.NS,GODREJCP.NS","HDFCBANK.NS,MARICO.NS,SBIN.NS",AXISBANK.NS:18.6%|HEROMOTOCO.NS:13.6%|BAJAJ-AUTO.NS:13.6%|MARUTI.NS:13.6%|GODREJCP.NS:10.2%,Banking×2.0|Automobiles×2.0|ConsumerDiscretionary×2.0,IT×0.3|FinancialServices×0.3|Pharma×0.3,0.5,False,2.0,0.3,0.3,0.3,0.3,2.0,2.0,0.3,0.3,0.3,0.3,0.3,1.837,0.3,0.3
2021-01-21,RL,1781956.27,1771140.2,-0.607,254.228,8,0.0,87.74,7725.73,7,8,"FEDERALBNK.NS,HDFCBANK.NS,HINDUNILVR.NS,KOTAKBANK.NS,MARICO.NS,TVSMOTOR.NS,VOLTAS.NS","BAJAJ-AUTO.NS,BRITANNIA.NS,DABUR.NS,GODREJCP.NS,HEROMOTOCO.NS,ITC.NS,MARUTI.NS",TVSMOTOR.NS:16.2%|VOLTAS.NS:16.2%|MARICO.NS:16.2%|HINDUNILVR.NS:16.2%|AXISBANK.NS:8.8%,Banking×2.0|Automobiles×2.0|ConsumerDiscretionary×2.0,IT×0.3|FinancialServices×0.3|Pharma×0.3,0.5,False,2.0,0.3,0.3,0.3,0.3,2.0,2.0,0.3,0.3,0.3,0.3,0.3,1.676,0.3,0.3
2021-02-18,RL,1876574.51,1867752.75,-0.47,273.551,8,0.0,67.32,6301.25,7,6,"DABUR.NS,GODREJCP.NS,INDUSINDBK.NS,PIDILITIND.NS,WHIRLPOOL.NS","AXISBANK.NS,FEDERALBNK.NS,HINDUNILVR.NS,TVSMOTOR.NS,VOLTAS.NS",WHIRLPOOL.NS:15.7%|PIDILITIND.NS:15.7%|HDFCBANK.NS:11.4%|KOTAKBANK.NS:11.4%|INDUSINDBK.NS:11.4%,Banking×2.0|Automobiles×2.0|ConsumerDiscretionary×2.0,IT×0.3|FinancialServices×0.3|Pharma×0.3,0.5,False,2.0,0.3,0.3,0.3,0.3,2.0,2.0,0.3,0.3,0.3,0.3,0.3,1.939,0.3,0.3
2021-03-18,RL,1867752.75,1786481.21,-4.351,257.296,8,0.0,61.19,4991.49,6,6,"COLPAL.NS,FEDERALBNK.NS,ICICIBANK.NS,SBIN.NS","GODREJCP.NS,INDUSINDBK.NS,MARICO.NS,WHIRLPOOL.NS",PIDILITIND.NS:19.3%|DABUR.NS:19.3%|COLPAL.NS:19.3%|FEDERALBNK.NS:8.4%|KOTAKBANK.NS:8.4%,Banking×2.0|FMCG×2.0|Automobiles×2.0,IT×0.3|FinancialServices×0.3|Pharma×0.3,0.5,False,2.0,0.3,0.3,0.3,0.3,2.0,2.0,0.3,0.3,0.3,0.3,0.3,2.0,0.3,0.3
2021-04-15,RL,1899339.96,1890117.91,-0.486,278.024,17,0.0,76.75,6587.09,12,8,"AARTIIND.NS,ALKEM.NS,AXISBANK.NS,BANDHANBNK.NS,BRITANNIA.NS,CIPLA.NS,CUMMINSIND.NS,DEEPAKNTR.NS,FORTIS.NS,METROPOLIS.NS,NAVINFLUOR.NS,SAIL.NS","HDFCBANK.NS,PIDILITIND.NS,SBIN.NS",KOTAKBANK.NS:5.9%|BANDHANBNK.NS:5.9%|FEDERALBNK.NS:5.9%|ICICIBANK.NS:5.9%|AXISBANK.NS:5.9%,Banking×2.0|FMCG×2.0|Automobiles×2.0,IT×0.3|FinancialServices×0.3|Energy×0.3,1.5,False,2.0,0.3,2.0,0.3,1.458,2.0,2.0,2.0,0.3,2.0,0.8,0.3,2.0,0.3,0.3
