date,mode,pre_nav,post_nav,period_return_pct,cum_return_pct,n_stocks,cash_pct,turnover_pct,cost_inr,n_buys,n_sells,stocks_added,stocks_removed,top5_holdings,rl_overweight,rl_underweight,aggressiveness,emergency,tilt_Banking,tilt_RealEstate,tilt_Healthcare,tilt_Chemicals,tilt_Cement,tilt_Metals,tilt_FinancialServices,tilt_ConsumerDiscretionary,tilt_FMCG,tilt_CapitalGoods,tilt_IT,tilt_Energy,tilt_Telecom,tilt_Pharma,tilt_Automobiles
2020-12-24,RL,1134271.87,1133411.9,-0.076,126.682,19,30.14,9.85,614.26,5,16,"DABUR.NS,HAVELLS.NS,PRESTIGE.NS","BIOCON.NS,MARUTI.NS",DRREDDY.NS:7.7%|GODREJCP.NS:7.2%|FORTIS.NS:7.1%|METROPOLIS.NS:6.6%|ASHOKLEY.NS:6.3%,FMCG×2.0|Automobiles×2.0|Pharma×2.0,IT×0.3|Banking×0.3|FinancialServices×0.3,0.5,False,0.3,2.0,2.0,0.3,0.514,2.0,0.3,1.458,2.0,2.0,0.3,0.3,2.0,2.0,2.0
2021-01-21,RL,1194379.17,1193045.5,-0.112,138.609,19,29.81,15.53,952.6,6,16,"DMART.NS,PIDILITIND.NS,TITAN.NS","CIPLA.NS,GODREJCP.NS,HAVELLS.NS",METROPOLIS.NS:8.0%|DRREDDY.NS:7.3%|PIDILITIND.NS:6.9%|FORTIS.NS:6.8%|COLPAL.NS:6.1%,FMCG×2.0|Automobiles×2.0|Pharma×2.0,IT×0.3|Banking×0.3|FinancialServices×0.3,0.5,False,0.3,2.0,2.0,0.3,0.489,2.0,0.3,1.449,2.0,2.0,0.3,0.3,2.0,2.0,2.0
2021-02-18,RL,1218665.47,1217619.95,-0.086,143.524,18,30.04,11.42,746.81,8,13,"ABB.NS,ASIANPAINT.NS","APOLLOHOSP.NS,BAJAJ-AUTO.NS,DMART.NS",METROPOLIS.NS:7.6%|DRREDDY.NS:7.0%|ASIANPAINT.NS:7.0%|PIDILITIND.NS:6.6%|FORTIS.NS:6.5%,FMCG×2.0|Automobiles×2.0|Pharma×2.0,IT×0.3|Banking×0.3|FinancialServices×0.3,0.5,False,0.3,2.0,2.0,0.3,0.829,2.0,0.3,1.47,2.0,2.0,0.3,0.3,2.0,2.0,2.0
2021-03-18,RL,1217619.95,1198235.19,-1.592,139.647,18,29.9,16.33,997.64,13,7,"DIVISLAB.NS,MARICO.NS","CUMMINSIND.NS,DRREDDY.NS",DABUR.NS:8.0%|METROPOLIS.NS:7.4%|DIVISLAB.NS:7.2%|ASIANPAINT.NS:6.8%|PIDILITIND.NS:6.4%,Banking×2.0|FMCG×2.0|Automobiles×2.0,IT×0.3|FinancialServices×0.3|Energy×0.3,0.5,False,2.0,2.0,2.0,0.3,1.772,2.0,0.3,1.034,2.0,2.0,0.3,0.3,2.0,2.0,2.0
2021-04-15,RL,1264060.49,1261516.62,-0.201,152.303,20,25.74,27.64,1817.03,12,12,"BANDHANBNK.NS,BRITANNIA.NS,HEROMOTOCO.NS,NESTLEIND.NS,SIEMENS.NS,SUNPHARMA.NS","ASIANPAINT.NS,DABUR.NS,PIDILITIND.NS,TITAN.NS",SIEMENS.NS:8.0%|METROPOLIS.NS:7.5%|DIVISLAB.NS:7.3%|HEROMOTOCO.NS:6.6%|NESTLEIND.NS:6.5%,Banking×2.0|FMCG×2.0|Automobiles×2.0,IT×0.3|FinancialServices×0.3|Energy×0.3,0.5,False,2.0,2.0,2.0,0.3,2.0,2.0,0.3,0.3,2.0,2.0,0.3,0.3,2.0,2.0,2.0
2021-05-14,RL,1282730.19,1282124.05,-0.047,156.425,21,25.1,6.89,432.98,11,11,"CIPLA.NS,HDFCBANK.NS",FORTIS.NS,SIEMENS.NS:7.6%|METROPOLIS.NS:7.2%|NESTLEIND.NS:7.0%|DIVISLAB.NS:7.0%|HEROMOTOCO.NS:6.3%,Banking×2.0|FMCG×2.0|Automobiles×2.0,IT×0.3|FinancialServices×0.3|Energy×0.3,0.5,False,2.0,2.0,2.0,0.3,2.0,2.0,0.3,0.3,2.0,2.0,0.3,0.3,2.0,2.0,2.0
2021-06-10,RL,1372106.22,1369243.92,-0.209,173.849,21,26.3,31.2,2044.44,9,18,"AMBUJACEM.NS,APOLLOHOSP.NS,CUMMINSIND.NS,DABUR.NS,FORTIS.NS,NMDC.NS","ASHOKLEY.NS,BRITANNIA.NS,CIPLA.NS,DIVISLAB.NS,HDFCBANK.NS,METROPOLIS.NS",NMDC.NS:8.0%|SIEMENS.NS:7.5%|NESTLEIND.NS:6.9%|AMBUJACEM.NS:6.7%|HEROMOTOCO.NS:6.2%,Banking×2.0|FMCG×2.0|Automobiles×2.0,IT×0.3|FinancialServices×0.3|Energy×0.3,0.5,False,2.0,2.0,2.0,0.3,2.0,2.0,0.3,0.3,2.0,2.0,0.3,0.3,2.0,2.0,2.0
2021-07-08,RL,1371487.12,1369593.07,-0.138,173.919,21,30.17,19.12,1352.9,13,11,"AUROPHARMA.NS,CIPLA.NS,HINDUNILVR.NS","ABB.NS,BANDHANBNK.NS,SIEMENS.NS",NMDC.NS:8.0%|VEDL.NS:8.0%|PRESTIGE.NS:8.0%|NESTLEIND.NS:6.5%|AMBUJACEM.NS:6.4%,FMCG×2.0|Automobiles×2.0|Pharma×2.0,IT×0.3|Banking×0.3|FinancialServices×0.3,0.5,False,0.3,2.0,2.0,0.3,0.943,2.0,0.3,0.3,2.0,2.0,0.3,0.3,2.0,2.0,2.0
2021-08-05,RL,1443809.57,1442514.18,-0.09,188.503,21,28.28,12.12,925.25,7,15,BAJAJ-AUTO.NS,NESTLEIND.NS,NMDC.NS:8.0%|VEDL.NS:8.0%|COLPAL.NS:8.0%|AMBUJACEM.NS:6.3%|HEROMOTOCO.NS:5.8%,FMCG×2.0|Automobiles×2.0|Pharma×2.0,IT×0.3|Banking×0.3|FinancialServices×0.3,0.5,False,0.3,2.0,2.0,0.3,0.959,2.0,0.3,0.642,2.0,2.0,0.3,0.3,2.0,2.0,2.0
2021-09-02,RL,1456728.44,1455719.45,-0.069,191.144,21,24.87,11.25,720.77,8,14,MARUTI.NS,POWERGRID.NS,NMDC.NS:7.6%|VEDL.NS:7.6%|COLPAL.NS:7.5%|AUROPHARMA.NS:6.5%|AMBUJACEM.NS:6.0%,FMCG×2.0|Automobiles×2.0|Pharma×2.0,IT×0.3|Banking×0.3|FinancialServices×0.3,0.5,False,0.3,2.0,2.0,0.3,0.853,2.0,0.3,0.3,2.0,2.0,0.3,0.3,2.0,2.0,2.0
