date,mode,pre_nav,post_nav,period_return_pct,cum_return_pct,n_stocks,cash_pct,turnover_pct,cost_inr,n_buys,n_sells,stocks_added,stocks_removed,top5_holdings,rl_overweight,rl_underweight,aggressiveness,emergency,tilt_Banking,tilt_RealEstate,tilt_Healthcare,tilt_Chemicals,tilt_Cement,tilt_Metals,tilt_FinancialServices,tilt_ConsumerDiscretionary,tilt_FMCG,tilt_CapitalGoods,tilt_IT,tilt_Energy,tilt_Telecom,tilt_Pharma,tilt_Automobiles
2020-10-01,RL,1228086.58,1186567.55,-3.381,137.314,18,5.02,27.3,1540.73,14,8,"ALKEM.NS,LTIM.NS,SUNPHARMA.NS,TATASTEEL.NS,TORNTPHARM.NS","APOLLOHOSP.NS,HCLTECH.NS,MPHASIS.NS,NMDC.NS",COALINDIA.NS:8.0%|METROPOLIS.NS:8.0%|ABB.NS:8.0%|ALKEM.NS:7.3%|BHARTIARTL.NS:6.9%,IT×2.0|Metals×2.0|Telecom×2.0,Banking×0.3|FinancialServices×0.3|FMCG×0.3,0.5,False,0.3,0.3,2.0,2.0,0.3,2.0,0.3,0.3,0.3,2.0,2.0,0.3,2.0,0.631,0.3
2020-10-29,RL,1186567.55,1180171.52,-0.539,136.034,18,12.0,19.26,949.52,8,13,"CIPLA.NS,PERSISTENT.NS,TECHM.NS","ABB.NS,LTIM.NS,TCS.NS",COALINDIA.NS:8.0%|ALKEM.NS:7.2%|BHARTIARTL.NS:6.8%|METROPOLIS.NS:6.5%|FORTIS.NS:6.5%,IT×2.0|Metals×2.0|Telecom×2.0,Banking×0.3|FinancialServices×0.3|FMCG×0.3,0.5,False,0.3,0.3,2.0,2.0,0.3,2.0,0.3,0.3,0.3,2.0,2.0,0.3,2.0,0.621,0.3
2020-11-26,RL,1322734.55,1320559.65,-0.164,164.112,15,5.02,24.36,1553.45,7,14,"BHEL.NS,HCLTECH.NS,MPHASIS.NS","ALKEM.NS,CIPLA.NS,SUNPHARMA.NS,TATASTEEL.NS,TECHM.NS,TORNTPHARM.NS",COALINDIA.NS:8.0%|MPHASIS.NS:8.0%|BHARTIARTL.NS:8.0%|FORTIS.NS:8.0%|NAVINFLUOR.NS:7.5%,IT×2.0|Metals×2.0|Telecom×2.0,Banking×0.3|FinancialServices×0.3|FMCG×0.3,0.5,False,0.3,0.3,1.866,2.0,0.3,2.0,0.3,0.3,0.3,2.0,2.0,0.3,2.0,0.3,0.3
2020-12-24,RL,1417575.82,1415687.26,-0.133,183.137,18,5.0,19.07,1348.99,11,9,"COFORGE.NS,NMDC.NS,PIIND.NS,TECHM.NS,WIPRO.NS","MPHASIS.NS,PERSISTENT.NS",METROPOLIS.NS:8.0%|BHARTIARTL.NS:8.0%|FORTIS.NS:8.0%|INDUSTOWER.NS:8.0%|NAVINFLUOR.NS:7.9%,IT×2.0|Metals×2.0|Telecom×2.0,Banking×0.3|FinancialServices×0.3|FMCG×0.3,0.5,False,0.3,0.3,1.369,2.0,0.3,2.0,0.3,0.3,0.3,2.0,2.0,0.3,2.0,0.3,0.3
2021-01-21,RL,1491017.12,1489626.97,-0.093,197.925,17,5.0,13.43,992.98,10,10,"INFY.NS,MPHASIS.NS","HCLTECH.NS,VEDL.NS,WIPRO.NS",COALINDIA.NS:8.0%|FORTIS.NS:8.0%|BHARTIARTL.NS:8.0%|METROPOLIS.NS:8.0%|MPHASIS.NS:8.0%,IT×2.0|Metals×2.0|Telecom×2.0,Banking×0.3|FinancialServices×0.3|FMCG×0.3,0.5,False,0.3,0.3,1.298,2.0,0.3,2.0,0.3,0.3,0.3,2.0,2.0,0.3,2.0,0.3,0.3
2021-02-18,RL,1538855.82,1533412.23,-0.354,206.682,12,28.3,61.43,3888.04,7,17,"ABB.NS,COLPAL.NS,CUMMINSIND.NS,DABUR.NS,HINDALCO.NS,HINDUNILVR.NS,LTIM.NS","AARTIIND.NS,ALKYLAMINE.NS,BHEL.NS,COALINDIA.NS,COFORGE.NS,FORTIS.NS,INFY.NS,METROPOLIS.NS,NAVINFLUOR.NS,NMDC.NS,NTPC.NS,PIIND.NS",DABUR.NS:8.0%|INDUSTOWER.NS:8.0%|LTIM.NS:7.9%|BHARTIARTL.NS:7.6%|MPHASIS.NS:7.6%,IT×2.0|Metals×2.0|CapitalGoods×2.0,Banking×0.3|Automobiles×0.3|Pharma×0.3,0.5,False,0.3,0.3,0.3,0.3,0.3,2.0,0.336,0.3,1.911,2.0,2.0,0.3,1.947,0.3,0.3
2021-03-18,RL,1533412.23,1527951.19,-0.356,205.59,13,30.33,13.9,1155.67,12,4,"LICHSGFIN.NS,LT.NS,MARICO.NS,SIEMENS.NS","CUMMINSIND.NS,HINDALCO.NS,HINDUNILVR.NS",DABUR.NS:7.9%|INDUSTOWER.NS:7.9%|LTIM.NS:7.7%|BHARTIARTL.NS:7.5%|MPHASIS.NS:7.5%,IT×2.0|Metals×2.0|CapitalGoods×2.0,Banking×0.3|Automobiles×0.3|Pharma×0.3,0.5,False,0.3,0.3,0.3,0.3,0.3,2.0,1.649,0.3,1.984,2.0,2.0,0.3,1.553,0.3,0.3
2021-04-15,RL,1538618.14,1537427.23,-0.077,207.485,14,30.12,10.1,850.64,9,7,"BRITANNIA.NS,COFORGE.NS,NESTLEIND.NS","DABUR.NS,TECHM.NS",INDUSTOWER.NS:7.9%|LTIM.NS:7.8%|BHARTIARTL.NS:7.6%|MPHASIS.NS:7.6%|COLPAL.NS:6.4%,IT×2.0|FinancialServices×2.0|FMCG×2.0,Banking×0.3|Automobiles×0.3|Pharma×0.3,0.5,False,0.3,0.3,1.202,0.3,0.3,2.0,2.0,0.3,2.0,2.0,2.0,0.3,0.846,0.3,0.3
2021-05-14,RL,1560845.31,1559914.0,-0.06,211.983,16,24.96,9.56,665.26,5,12,"HDFCLIFE.NS,INFY.NS,SBILIFE.NS",COFORGE.NS,LTIM.NS:7.7%|BHARTIARTL.NS:7.5%|MPHASIS.NS:7.5%|INDUSTOWER.NS:6.8%|COLPAL.NS:6.3%,IT×2.0|FinancialServices×2.0|Metals×2.0,Banking×0.3|Automobiles×0.3|Pharma×0.3,0.5,False,0.3,0.3,1.331,0.3,0.3,2.0,2.0,0.3,1.993,2.0,2.0,0.3,0.865,0.3,0.3
2021-06-10,RL,1634524.4,1633285.1,-0.076,226.657,13,25.0,10.87,885.17,4,12,,"LICHSGFIN.NS,LT.NS,MARICO.NS",NESTLEIND.NS:8.0%|SBILIFE.NS:8.0%|LTIM.NS:7.6%|BHARTIARTL.NS:7.4%|MPHASIS.NS:7.4%,IT×2.0|FinancialServices×2.0|FMCG×2.0,Banking×0.3|Automobiles×0.3|Pharma×0.3,0.5,False,0.3,0.3,0.3,0.3,0.3,2.0,2.0,0.3,2.0,2.0,2.0,0.3,1.252,0.3,0.3
2021-07-08,RL,1638905.75,1637351.36,-0.095,227.47,12,28.49,12.9,1110.27,8,7,"HCLTECH.NS,HINDUNILVR.NS","BRITANNIA.NS,MPHASIS.NS,SIEMENS.NS",HDFCLIFE.NS:8.0%|NESTLEIND.NS:7.7%|SBILIFE.NS:7.7%|LTIM.NS:7.3%|BHARTIARTL.NS:7.1%,IT×2.0|FinancialServices×2.0|Metals×2.0,Banking×0.3|Automobiles×0.3|Pharma×0.3,0.5,False,0.3,0.3,0.466,0.3,0.3,2.0,2.0,0.3,1.998,2.0,2.0,0.3,1.21,0.3,0.3
2021-08-05,RL,1680630.09,1678958.24,-0.099,235.792,13,25.17,13.15,1194.19,8,7,"CUMMINSIND.NS,NTPC.NS,WIPRO.NS","HCLTECH.NS,POWERGRID.NS",HDFCLIFE.NS:8.1%|NESTLEIND.NS:7.7%|SBILIFE.NS:7.7%|LTIM.NS:7.3%|WIPRO.NS:7.2%,IT×2.0|Metals×2.0|CapitalGoods×2.0,Banking×0.3|Automobiles×0.3|Pharma×0.3,0.5,False,0.3,0.3,0.3,0.3,0.3,2.0,0.828,0.3,1.929,2.0,2.0,0.3,1.789,0.3,0.3
2021-09-02,RL,1794132.11,1792674.14,-0.081,258.535,14,27.16,13.57,1041.32,5,10,"MARICO.NS,POWERGRID.NS",COLPAL.NS,WIPRO.NS:8.0%|HINDUNILVR.NS:8.0%|HDFCLIFE.NS:7.9%|NESTLEIND.NS:7.6%|SBILIFE.NS:7.6%,IT×2.0|Metals×2.0|CapitalGoods×2.0,Banking×0.3|Automobiles×0.3|Pharma×0.3,0.5,False,0.3,0.3,0.3,0.3,0.3,2.0,0.542,0.3,1.891,2.0,2.0,0.3,1.92,0.3,0.3
