run_id,run_mode,backtest_start_date,backtest_end_date,report_generated_at_utc,sector,feature,importance,importance_share,rank
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,Energy,ma_50_200_ratio,144.0,0.19889502762430938,1
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,Energy,amihud_1m,139.0,0.1919889502762431,2
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,Energy,vol_3m,135.0,0.18646408839779005,3
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,Energy,mom_accel_3m_6m,106.0,0.1464088397790055,4
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,Energy,ret_3m,103.0,0.14226519337016574,5
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,Energy,mom_12m_skip1m,97.0,0.13397790055248618,6
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,FMCG,ma_50_200_ratio,164.0,0.24260355029585798,1
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,FMCG,mom_12m_skip1m,129.0,0.1908284023668639,2
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,FMCG,vol_3m,117.0,0.17307692307692307,3
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,FMCG,mom_accel_3m_6m,101.0,0.14940828402366865,4
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,FMCG,amihud_1m,94.0,0.1390532544378698,5
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,FMCG,ret_3m,71.0,0.10502958579881656,6
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,FinancialServices,vol_3m,166.0,0.24198250728862974,1
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,FinancialServices,amihud_1m,156.0,0.22740524781341107,2
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,FinancialServices,mom_12m_skip1m,136.0,0.19825072886297376,3
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,FinancialServices,ma_50_200_ratio,88.0,0.1282798833819242,4
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,FinancialServices,ret_3m,72.0,0.10495626822157435,5
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,FinancialServices,mom_accel_3m_6m,68.0,0.09912536443148688,6
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,Healthcare,ma_50_200_ratio,152.0,0.22551928783382788,1
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,Healthcare,vol_3m,127.0,0.1884272997032641,2
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,Healthcare,amihud_1m,125.0,0.18545994065281898,3
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,Healthcare,mom_12m_skip1m,98.0,0.14540059347181009,4
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,Healthcare,ret_3m,89.0,0.13204747774480713,5
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,Healthcare,mom_accel_3m_6m,83.0,0.12314540059347182,6
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,IT,ma_50_200_ratio,153.0,0.22270742358078602,1
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,IT,mom_12m_skip1m,125.0,0.1819505094614265,2
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,IT,vol_3m,123.0,0.17903930131004367,3
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,IT,amihud_1m,121.0,0.17612809315866085,4
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,IT,mom_accel_3m_6m,86.0,0.12518195050946143,5
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,IT,ret_3m,79.0,0.11499272197962154,6
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,Metals,ma_50_200_ratio,171.0,0.24498567335243554,1
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,Metals,vol_3m,145.0,0.20773638968481375,2
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,Metals,mom_12m_skip1m,122.0,0.17478510028653296,3
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,Metals,amihud_1m,115.0,0.16475644699140402,4
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,Metals,ret_3m,81.0,0.11604584527220631,5
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,Metals,mom_accel_3m_6m,64.0,0.09169054441260745,6
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,Pharma,ma_50_200_ratio,159.0,0.2314410480349345,1
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,Pharma,vol_3m,137.0,0.19941775836972345,2
