run_id,run_mode,backtest_start_date,backtest_end_date,report_generated_at_utc,date,mode,pre_nav,post_nav,period_return_pct,cum_return_pct,n_stocks,cash_pct,turnover_pct,cost_inr,n_buys,n_sells,stocks_added,stocks_removed,top5_holdings,rl_overweight,rl_underweight,aggressiveness,emergency,tilt_Automobiles,tilt_Banking,tilt_CapitalGoods,tilt_Cement,tilt_Chemicals,tilt_ConsumerDiscretionary,tilt_Energy,tilt_FMCG,tilt_FinancialServices,tilt_Healthcare,tilt_IT,tilt_Metals,tilt_Pharma,tilt_RealEstate,tilt_Telecom
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,2016-06-16,RL,569945.36,567176.51,-0.486,13.435,22,0.0,69.6,1977.74,20,17,"AARTIIND.NS,ABB.NS,BALAMINES.NS,BPCL.NS,CUMMINSIND.NS,GAIL.NS,NAVINFLUOR.NS,NTPC.NS,ONGC.NS,PETRONET.NS,RELIANCE.NS,SRF.NS,TATAELXSI.NS,TCS.NS,VINATIORGA.NS","ADANIPORTS.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BIOCON.NS,CHOLAFIN.NS,COFORGE.NS,DIVISLAB.NS,GLENMARK.NS,LICHSGFIN.NS,LT.NS,MUTHOOTFIN.NS,SIEMENS.NS,TECHM.NS,TORNTPHARM.NS,ZYDUSLIFE.NS",AIAENG.NS:4.5%|ABB.NS:4.5%|ONGC.NS:4.5%|HCLTECH.NS:4.5%|PERSISTENT.NS:4.5%,,,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,2016-07-14,RL,587081.23,585770.76,-0.223,17.154,25,0.0,31.85,936.05,8,22,"AXISBANK.NS,HDFCBANK.NS,INDUSINDBK.NS,IOC.NS,KOTAKBANK.NS,PIIND.NS,SBIN.NS,SIEMENS.NS","APOLLOHOSP.NS,FORTIS.NS,NTPC.NS,ONGC.NS,VINATIORGA.NS",AIAENG.NS:4.0%|HDFCBANK.NS:4.0%|AXISBANK.NS:4.0%|KOTAKBANK.NS:4.0%|INDUSINDBK.NS:4.0%,,,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,2016-08-11,RL,612629.9,609403.64,-0.527,21.881,22,0.0,75.5,2304.47,22,19,"ACC.NS,AMBUJACEM.NS,APOLLOHOSP.NS,COALINDIA.NS,DEEPAKNTR.NS,FORTIS.NS,GRASIM.NS,JINDALSTEL.NS,JSWSTEEL.NS,LT.NS,NMDC.NS,NTPC.NS,RAMCOCEM.NS,SHREECEM.NS,VEDL.NS,VINATIORGA.NS","ABB.NS,AXISBANK.NS,BALAMINES.NS,BPCL.NS,CUMMINSIND.NS,GAIL.NS,HCLTECH.NS,HDFCBANK.NS,INDUSINDBK.NS,IOC.NS,KOTAKBANK.NS,MPHASIS.NS,NAVINFLUOR.NS,PERSISTENT.NS,PETRONET.NS,RELIANCE.NS,SBIN.NS,TATAELXSI.NS,TCS.NS",LT.NS:4.5%|AIAENG.NS:4.5%|PIIND.NS:4.5%|NTPC.NS:4.5%|SIEMENS.NS:4.5%,,,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,2016-09-08,RL,651664.59,649482.64,-0.335,29.897,25,0.0,47.83,1558.53,12,22,"BAJAJFINSV.NS,BAJFINANCE.NS,BALAMINES.NS,BRITANNIA.NS,CHOLAFIN.NS,COLPAL.NS,GODREJCP.NS,HINDALCO.NS,ITC.NS,LICHSGFIN.NS,MARICO.NS,MUTHOOTFIN.NS","AIAENG.NS,APOLLOHOSP.NS,BHEL.NS,FORTIS.NS,LT.NS,NTPC.NS,SIEMENS.NS,VEDL.NS,VINATIORGA.NS",SRF.NS:4.0%|AARTIIND.NS:4.0%|PIIND.NS:4.0%|JINDALSTEL.NS:4.0%|ACC.NS:4.0%,,,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,2016-10-06,RL,649482.64,641747.21,-1.191,28.349,25,0.0,49.13,1578.72,20,17,"BPCL.NS,COFORGE.NS,GAIL.NS,INFY.NS,IOC.NS,MPHASIS.NS,ONGC.NS,PERSISTENT.NS,PETRONET.NS,TATAELXSI.NS,TATASTEEL.NS,VINATIORGA.NS","BAJAJFINSV.NS,BAJFINANCE.NS,BALAMINES.NS,BRITANNIA.NS,CHOLAFIN.NS,COLPAL.NS,GODREJCP.NS,ITC.NS,LICHSGFIN.NS,MARICO.NS,MUTHOOTFIN.NS,NMDC.NS",TATAELXSI.NS:4.0%|COFORGE.NS:4.0%|IOC.NS:4.0%|BPCL.NS:4.0%|PERSISTENT.NS:4.0%,,,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,2016-11-03,RL,641747.21,617527.33,-3.774,23.505,25,0.0,53.11,1641.7,22,16,"ASHOKLEY.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BALKRISIND.NS,CHOLAFIN.NS,LICHSGFIN.NS,MARUTI.NS,MUTHOOTFIN.NS,NMDC.NS,TVSMOTOR.NS,ULTRACEMCO.NS,VEDL.NS","AARTIIND.NS,COALINDIA.NS,COFORGE.NS,DEEPAKNTR.NS,HINDALCO.NS,INFY.NS,MPHASIS.NS,PERSISTENT.NS,PIIND.NS,RAMCOCEM.NS,SRF.NS,TATAELXSI.NS,VINATIORGA.NS",ULTRACEMCO.NS:4.0%|ASHOKLEY.NS:4.0%|ACC.NS:4.0%|AMBUJACEM.NS:4.0%|SHREECEM.NS:4.0%,,,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,2016-12-01,RL,617527.33,588157.15,-4.756,17.631,25,0.0,45.72,1347.57,16,20,"ABB.NS,ADANIPORTS.NS,AIAENG.NS,BALAMINES.NS,BHEL.NS,DEEPAKNTR.NS,HINDALCO.NS,NAVINFLUOR.NS,NTPC.NS,PIIND.NS,SRF.NS","ACC.NS,AMBUJACEM.NS,ASHOKLEY.NS,BAJAJ-AUTO.NS,BALKRISIND.NS,GRASIM.NS,JINDALSTEL.NS,MARUTI.NS,SHREECEM.NS,TVSMOTOR.NS,ULTRACEMCO.NS",DEEPAKNTR.NS:4.0%|SRF.NS:4.0%|BALAMINES.NS:4.0%|ABB.NS:4.0%|VEDL.NS:4.0%,,,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,2016-12-29,RL,588157.15,573153.58,-2.551,14.631,22,0.0,44.17,1265.26,22,11,"AARTIIND.NS,BHARTIARTL.NS,DLF.NS,GODREJPROP.NS,INDUSTOWER.NS,OBEROIRLTY.NS,PHOENIXLTD.NS,PRESTIGE.NS","ABB.NS,ADANIPORTS.NS,AIAENG.NS,BHEL.NS,BPCL.NS,GAIL.NS,IOC.NS,NTPC.NS,ONGC.NS,PETRONET.NS,PIIND.NS",DLF.NS:4.5%|BALAMINES.NS:4.5%|SRF.NS:4.5%|DEEPAKNTR.NS:4.5%|PRESTIGE.NS:4.5%,,,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,2017-01-27,RL,641325.17,638809.09,-0.392,27.762,22,0.0,56.21,1797.2,19,15,"ACC.NS,AMBUJACEM.NS,BPCL.NS,GAIL.NS,IOC.NS,ONGC.NS,PETRONET.NS,PIIND.NS,RAMCOCEM.NS,SHREECEM.NS,ULTRACEMCO.NS,VINATIORGA.NS","BALAMINES.NS,DEEPAKNTR.NS,DLF.NS,GODREJPROP.NS,HINDALCO.NS,JSWSTEEL.NS,NMDC.NS,OBEROIRLTY.NS,PHOENIXLTD.NS,PRESTIGE.NS,TATASTEEL.NS,VEDL.NS",RAMCOCEM.NS:4.5%|SHREECEM.NS:4.5%|AARTIIND.NS:4.5%|ULTRACEMCO.NS:4.5%|NAVINFLUOR.NS:4.5%,,,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,2017-02-23,RL,651822.97,649640.49,-0.335,29.928,25,0.0,47.83,1558.91,12,22,"BRITANNIA.NS,COLPAL.NS,DABUR.NS,DEEPAKNTR.NS,ITC.NS,JINDALSTEL.NS,JSWSTEEL.NS,MARICO.NS,NMDC.NS,RELIANCE.NS,SAIL.NS,VEDL.NS","ACC.NS,AMBUJACEM.NS,BHARTIARTL.NS,INDUSTOWER.NS,ONGC.NS,RAMCOCEM.NS,SHREECEM.NS,ULTRACEMCO.NS,VINATIORGA.NS",AARTIIND.NS:4.0%|ITC.NS:4.0%|BRITANNIA.NS:4.0%|BAJAJFINSV.NS:4.0%|MARICO.NS:4.0%,,,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,2017-03-23,RL,672379.37,670614.62,-0.262,34.123,25,0.0,37.57,1260.54,20,14,"BRIGADE.NS,DLF.NS,GODREJCP.NS,OBEROIRLTY.NS,PHOENIXLTD.NS,PRESTIGE.NS,TATACONSUM.NS,TATASTEEL.NS,VINATIORGA.NS","BAJAJFINSV.NS,BAJFINANCE.NS,CHOLAFIN.NS,DABUR.NS,DEEPAKNTR.NS,ITC.NS,LICHSGFIN.NS,MUTHOOTFIN.NS,VEDL.NS",AARTIIND.NS:4.0%|GODREJCP.NS:4.0%|TATACONSUM.NS:4.0%|NAVINFLUOR.NS:4.0%|MARICO.NS:4.0%,,,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,2017-04-20,RL,703786.58,700826.34,-0.421,40.165,25,0.0,60.16,2114.45,17,23,"AXISBANK.NS,BAJAJFINSV.NS,BAJFINANCE.NS,CHOLAFIN.NS,FEDERALBNK.NS,HAVELLS.NS,ICICIBANK.NS,IDFCFIRSTB.NS,KOTAKBANK.NS,LICHSGFIN.NS,MUTHOOTFIN.NS,PIDILITIND.NS,TITAN.NS,VOLTAS.NS,WHIRLPOOL.NS","BRIGADE.NS,BRITANNIA.NS,COLPAL.NS,DLF.NS,GODREJCP.NS,JINDALSTEL.NS,JSWSTEEL.NS,MARICO.NS,NMDC.NS,OBEROIRLTY.NS,PHOENIXLTD.NS,PRESTIGE.NS,SAIL.NS,TATACONSUM.NS,TATASTEEL.NS",WHIRLPOOL.NS:4.0%|LICHSGFIN.NS:4.0%|PETRONET.NS:4.0%|HAVELLS.NS:4.0%|NAVINFLUOR.NS:4.0%,,,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,2017-05-18,RL,718197.14,715525.94,-0.372,43.105,25,0.0,53.23,1908.0,19,19,"ALKYLAMINE.NS,ASHOKLEY.NS,BALAMINES.NS,BALKRISIND.NS,BRIGADE.NS,DLF.NS,GODREJPROP.NS,HEROMOTOCO.NS,INDUSINDBK.NS,M&M.NS,MARUTI.NS,OBEROIRLTY.NS,PRESTIGE.NS","BPCL.NS,GAIL.NS,HAVELLS.NS,IOC.NS,KOTAKBANK.NS,PETRONET.NS,PIDILITIND.NS,RELIANCE.NS,SRF.NS,TITAN.NS,VINATIORGA.NS,VOLTAS.NS,WHIRLPOOL.NS",BALKRISIND.NS:4.0%|BALAMINES.NS:4.0%|LICHSGFIN.NS:4.0%|FEDERALBNK.NS:4.0%|MUTHOOTFIN.NS:4.0%,,,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,2017-06-15,RL,749375.6,747613.37,-0.235,49.523,25,0.0,33.62,1258.74,15,18,"BPCL.NS,GAIL.NS,IOC.NS,ONGC.NS,PETRONET.NS,PHOENIXLTD.NS,SRF.NS,TVSMOTOR.NS","AARTIIND.NS,AXISBANK.NS,DLF.NS,FEDERALBNK.NS,HEROMOTOCO.NS,ICICIBANK.NS,IDFCFIRSTB.NS,INDUSINDBK.NS",BALKRISIND.NS:4.0%|ONGC.NS:4.0%|ALKYLAMINE.NS:4.0%|BALAMINES.NS:4.0%|PETRONET.NS:4.0%,,,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
